Search Query|Norm Query|Miner|Miner args|Query|Shard Kind
lassie костюмы для мальчиков|lassie для_мальчик subj_костюм|elasticsearch|--context-subject="костюм" --query="lassie костюмы для мальчиков" --context-subject-filter=true|preset=10066977&kind=3;6|presets/bucket_32
lassie термобелье|lassie subj_термобелье|elasticsearch|--context-subject="термобелье" --max-product=35000 --query="lassie термобелье"|preset=19140205|presets/bucket_32
lassie штаны|lassie subj_брюки|elasticsearch|--context-subject="брюки" --query="lassie штаны" --context-subject-filter=true|preset=10068554|presets/bucket_32
lessi костюм весна|lessi subj_весна subj_костюм|elasticsearch|--context-subject="костюм" --max-product=35000 --query="lessi костюм весна" --context-subject-filter=true|preset=19728436|presets/bucket_32
теннисная юбка шорты|теннисный юбка-шорты|elasticsearch|--context-subject="юбка шорты" --max-product=35000 --query="теннисная юбка шорты" --context-subject-filter=true|preset=19185348|presets/bucket_32
lessy костюм|lessy subj_костюм|elasticsearch|--context-subject="костюм" --max-product=35000 --query="lessy костюм" --context-subject-filter=true|preset=100097652|presets/bucket_32
levi's шорты|levi's subj_шорты|elasticsearch|--context-subject="шорты" --query="levi's шорты"|preset=10027225|presets/bucket_32
lime бермуды|limes subj_бермуды|elasticsearch|--context-subject="бермуды" --max-product=35000 --query="lime бермуды"|preset=19752041|presets/bucket_32
lime комбинезон для женщин|limes для_женщина subj_комбинезон|elasticsearch|--context-subject="комбинезон" --query="lime комбинезон для женщин" --max-product=35000 --context-subject-filter=true|preset=3050|presets/bucket_32
lime штаны|limes subj_брюки|elasticsearch|--context-subject="брюки" --query="lime штаны" --context-brand="lime" --context-subject-filter=true|preset=10081363|presets/bucket_32
marks & spencer трусы женские|and marks spencer для_женщина subj_трусы|elasticsearch|--context-brand="marks spencer" --context-subject="трусы" --max-product=35000 --query="marks spencer трусы женские" --context-subject-filter=true|preset=19667688|presets/bucket_32
mia amore пижама с брюками|amore mia subj_пижама с_брюки|elasticsearch|--context-brand="mia amore" --context-subject="пижама" --max-product=35000 --query="mia amore пижама с брюками" --context-subject-filter=true|preset=19158334|presets/bucket_32
mia amore пижамы|amore mia subj_пижама|elasticsearch|--context-brand="mia amore" --context-subject="пижама" --query="mia amore пижама" --context-subject-filter=true|preset=10153025|presets/bucket_32
mia пижама шелковая|mia subj_пижама subj_шелк|elasticsearch|--context-subject="пижама" --query="mia пижама шелковая" --context-subject-filter=true|preset=10057986|presets/bucket_32
minimi трусы слипы|minimi subj_слип subj_трусы|elasticsearch|--context-brand="minimi" --context-subject="трусы" --max-product=35000 --query="minimi трусы слипы" --context-subject-filter=true|preset=19487095|presets/bucket_32
minimo girl|girl minimo|elasticsearch|--query="minimo girl"|preset=10128358|presets/bucket_32
minimo|minimo|elasticsearch|--query="minimo"|preset=10103796|presets/bucket_32
monamise домашняя одежда|monamise домашний subj_одежда|elasticsearch|--context-subject="домашний одежда" --max-product=35000 --query="monamise домашняя одежда"|preset=19163516|presets/bucket_32
nike kd|kd nike|elasticsearch|--context-subject="мячи спортивные" --context-brand="kd" --query="nike kd"|preset=10072870|presets/bucket_32
pepe jeans шорты женские|jeans pepe для_женщина subj_шорты|elasticsearch|--context-subject="шорты" --query="pepe jeans шорты женские" --context-subject-filter=true|preset=10084725&kind=0;2|presets/bucket_32
pogo kids|kids pogo|elasticsearch|--query="pogo kids"|preset=10113040|presets/bucket_32
pogo kids зима|kids pogo для_зима|elasticsearch|--query="pogo kids зима" --max-product=35000|preset=200017245|presets/bucket_32
pogo kids костюм|kids pogo subj_костюм|elasticsearch|--context-subject="костюм" --max-product=35000 --query="pogo kids костюм" --context-subject-filter=true|preset=19728510|presets/bucket_32
pogo костюм|pogo subj_костюм|elasticsearch|--context-subject="костюм" --max-product=35000 --query="pogo костюм" --context-subject-filter=true|preset=19140191|presets/bucket_32
poivre blanc дети|blanc poivre для_детей|elasticsearch|--query="poivre blanc дети"|preset=10164865|presets/bucket_32
raima зимний комбинезон|raima для_зима subj_комбинезон|elasticsearch|--context-subject="комбинезон" --max-product=35000 --query="raima зимний комбинезон" --context-subject-filter=true|preset=19158182|presets/bucket_32
reima 104 комбинезон|104 reima subj_комбинезон|elasticsearch|--context-brand="reima" --context-subject="комбинезон" --max-product=35000 --query="reima 104 комбинезон" --context-subject-filter=true|preset=19129123|presets/bucket_32
reima kiddo|kiddo reima|elasticsearch|--context-brand="reima" --max-product=35000 --query="reima kiddo"|preset=19158342|presets/bucket_32
reimatec комбинезон зимний|reimatec для_зима subj_комбинезон|elasticsearch|--context-subject="комбинезон" --max-product=35000 --query="reimatec комбинезон зимний" --context-subject-filter=true|preset=19152196|presets/bucket_32
reima зима комбинезоны девочка|reima для_девочка для_зима subj_комбинезон|elasticsearch|--context-brand="reima" --query="reima зима комбинезоны девочка" --context-subject="комбинезон" --context-subject-filter=true|preset=10078855&kind=3;5|presets/bucket_32
reima комбинезон 122|122 reima subj_комбинезон|elasticsearch|--context-brand="reima" --context-subject="комбинезон" --max-product=35000 --query="reima комбинезон 122" --context-subject-filter=true|preset=19129209|presets/bucket_32
reima комбинезон 128|128 reima subj_комбинезон|elasticsearch|--context-brand="reima" --context-subject="комбинезон" --max-product=35000 --query="reima комбинезон 128" --context-subject-filter=true|preset=19142427|presets/bucket_32
reima комбинезон 134|134 reima subj_комбинезон|elasticsearch|--context-brand="reima" --context-subject="комбинезон" --max-product=35000 --query="reima комбинезон 134" --context-subject-filter=true|preset=19129334|presets/bucket_32
reima комбинезон 140|140 reima subj_комбинезон|elasticsearch|--context-brand="reima" --context-subject="комбинезон" --max-product=35000 --query="reima комбинезон 140" --context-subject-filter=true|preset=19144018|presets/bucket_32
reima комбинезон 146|146 reima subj_комбинезон|elasticsearch|--context-brand="reima" --context-subject="комбинезон" --max-product=35000 --query="reima комбинезон 146" --context-subject-filter=true|preset=19143486|presets/bucket_32
reima комбинезон 92|92 reima subj_комбинезон|elasticsearch|--context-brand="reima" --context-subject="комбинезон" --max-product=35000 --query="reima комбинезон 92" --context-subject-filter=true|preset=19143385|presets/bucket_32
reima комбинезон весна|reima subj_весна subj_комбинезон|elasticsearch|--context-brand="reima" --context-subject="комбинезон" --query="reima осенний комбинезон" --context-subject-filter=true|preset=10172914|presets/bucket_32
reima комбинезон весна осень|reima демисезонный subj_комбинезон|elasticsearch|--context-brand="reima" --context-subject="комбинезон" --max-product=35000 --query="reima комбинезон весна осень" --context-subject-filter=true|preset=10749992|presets/bucket_32
reima комбинезон зимний 122|122 reima для_зима subj_комбинезон|elasticsearch|--context-brand="reima" --context-subject="комбинезон" --max-product=35000 --query="reima комбинезон зимний 122" --context-subject-filter=true|preset=19152687|presets/bucket_32
reima комбинезон зимний 98|98 reima для_зима subj_комбинезон|elasticsearch|--context-brand="reima" --context-subject="комбинезон" --max-product=35000 --query="reima комбинезон зимний 98" --context-subject-filter=true|preset=19157073|presets/bucket_32
reima комбинезон непромокаемый|reima subj_комбинезон непромокаемый|elasticsearch|--context-brand="reima" --context-subject="комбинезон" --max-product=35000 --query="reima комбинезон непромокаемый" --context-subject-filter=true|preset=19152151|presets/bucket_32
reima комбинезон одежда|reima subj_комбинезон subj_одежда|elasticsearch|--context-brand="reima" --context-subject="комбинезон" --query="reima комбинезон одежда" --context-subject-filter=true|preset=10021151|presets/bucket_32
reima комбинезон с утеплителем|reima subj_комбинезон с_утеплитель|elasticsearch|--context-brand="reima" --context-subject="комбинезон" --query="reima комбинезон с утеплителем" --context-subject-filter=true|preset=10173754|presets/bucket_32
reima комбинезоны для девочек для демисезонная|reima для_девочка для_демисезонный subj_комбинезон|elasticsearch|--context-brand="reima" --context-subject="комбинезон" --max-product=35000 --query="reima комбинезоны для девочек для демисезонная" --context-subject-filter=true|preset=19435104|presets/bucket_32
reima комплект для зимы|reima для_зима subj_комплект|elasticsearch|--context-brand="reima" --query="зимний комплект для девочки reima"|preset=10184149|presets/bucket_32
reima комплекты для мальчиков|reima для_мальчик subj_комплект|elasticsearch|--context-subject="костюм" --context-brand="reima" --query="reima комплекты для мальчиков"|preset=10051640&kind=3;6|presets/bucket_32
soft shell комбинезон|shell soft subj_комбинезон|elasticsearch|--context-brand="shell" --context-subject="комбинезон" --max-product=35000 --query="soft shell комбинезон" --context-subject-filter=true|preset=19142765|presets/bucket_32
solo шорты|solo subj_шорты|elasticsearch|--context-subject="шорты" --query="solo шорты" --context-subject-filter=true|preset=10171153|presets/bucket_32
super pogo|pogo super|elasticsearch|--context-brand="super pogo" --query="super pogo" --context-subject="костюм"|preset=10127391|presets/bucket_32
super pogo комбинезон|pogo super subj_комбинезон|elasticsearch|--context-subject="комбинезон" --max-product=35000 --query="super pogo комбинезон" --context-subject-filter=true|preset=19143684|presets/bucket_32
the cave kids|cave kids the|elasticsearch|--context-brand="cave kids" --max-product=35000 --query="the cave kids"|preset=11029396|presets/bucket_32
tommy нижнее белье|tommy subj_белье нижний|elasticsearch|--context-subject="комплекты белья" --max-product=35000 --query="tommy нижнее белье"|preset=19487725|presets/bucket_32
t sod|sod t|elasticsearch|--context-brand="t sod" --query="t sod"|preset=10071593|presets/bucket_32
vericoh|vericoh|elasticsearch|--filter="parentSubject:(белье OR одежда OR \"белье для малышей\" OR \"товар для взрослых\")" --context-brand="vericoh" --query="vericoh" --context-subject="трусы" --context-subject-filter=true|preset=10152342|presets/bucket_32
yumi|yumi|elasticsearch|--query="yumi"|preset=10132459|presets/bucket_32
zolla женская юбка шорты|zolla для_женщина юбка-шорты|elasticsearch|--context-brand="zolla" --context-subject="юбка шорты" --max-product=35000 --query="zolla женская юбка шорты" --context-subject-filter=true|preset=19157067&kind=0;2|presets/bucket_32
абрикос|subj_абрикос|elasticsearch|--context-subject="абрикосы" --query="абрикос"|preset=12121231|presets/bucket_32
ажурные сорочки|ажурный subj_сорочка|elasticsearch|--context-subject="ночные сорочки" --max-product=35000 --query="ажурные сорочки"|preset=19150312|presets/bucket_32
ажурный топ|ажурный subj_топ|elasticsearch|--context-subject="топ" --query="ажурный топ" --context-subject-filter=true|preset=10022754|presets/bucket_32
алыча|subj_алыча|elasticsearch|--context-subject="продукты" --query="алыча" --context-subject-filter=true|preset=10008652|presets/bucket_32
алыча сушеная|subj_алыча сушеный|elasticsearch|--context-subject="сухофрукты" --max-product=35000 --query="алыча сушеная" --context-subject-filter=true|preset=10858036|presets/bucket_32
атласная сорочка|атласный subj_сорочка|elasticsearch|--context-subject="ночные сорочки" --query="атласная сорочка" --context-subject-filter=true|preset=10176241|presets/bucket_32
байковая ночная рубашка|байковый ночной subj_рубашка|elasticsearch|--context-subject="ночные сорочки" --max-product=35000 --query="байковая ночная рубашка" --context-subject-filter=true|preset=19133867|presets/bucket_32
бандажные трусы|бандажный subj_трусы|elasticsearch|--context-subject="трусы" --query="бандажные трусы" --context-subject-filter=true|preset=10182725|presets/bucket_32
бежевые шорты женские|бежевый для_женщина subj_шорты|elasticsearch|--context-subject="шорты" --query="бежевые шорты женские" --context-subject-filter=true|preset=10070278&kind=0;2|presets/bucket_32
белая кружевная пижама|белый из_кружево subj_пижама|elasticsearch|--context-subject="пижама" --max-product=35000 --query="белая кружевная пижама" --context-subject-filter=true|preset=19162731|presets/bucket_32
белая кружевная сорочка|белый из_кружево subj_сорочка|elasticsearch|--context-subject="ночные сорочки" --max-product=35000 --query="белая кружевная сорочка" --context-subject-filter=true|preset=19163779|presets/bucket_32
белая ночнушка|белый ночной subj_сорочка|elasticsearch|--context-subject="ночные сорочки" --max-product=35000 --query="белая ночнушка" --context-subject-filter=true|preset=19123483|presets/bucket_32
белая сорочка для девочки|белый для_девочка subj_сорочка|elasticsearch|--context-subject="ночные сорочки" --max-product=35000 --query="белая сорочка для девочки"|preset=19147862|presets/bucket_32
белая сорочка женская|белый для_женщина subj_сорочка|elasticsearch|--context-subject="ночные сорочки" --max-product=35000 --query="белая сорочка женская" --context-subject-filter=true|preset=10794210|presets/bucket_32
белые женские шорты|белый для_женщина subj_шорты|elasticsearch|--context-subject="шорты" --query="белые женские шорты" --context-subject-filter=true|preset=10009461&kind=0;2|presets/bucket_32
белые шорты для мальчика|белый для_мальчик subj_шорты|elasticsearch|--context-subject="шорты" --query="белые шорты для мальчика" --context-subject-filter=true|preset=10088000|presets/bucket_32
белые шорты классические|белый классический subj_шорты|elasticsearch|--context-subject="шорты" --max-product=35000 --query="белые шорты классические" --context-subject-filter=true|preset=19157878|presets/bucket_32
белые шорты короткие|белый короткий subj_шорты|elasticsearch|--context-subject="шорты" --max-product=35000 --query="белые шорты короткие" --context-subject-filter=true|preset=19151974|presets/bucket_32
белые шорты на резинке|белый на_резинка subj_шорты|elasticsearch|--context-subject="шорты" --max-product=35000 --query="белые шорты на резинке" --context-subject-filter=true|preset=19204425|presets/bucket_32
белые шорты с высокой посадкой|белый посадка с_высокий subj_шорты|elasticsearch|--context-subject="шорты" --max-product=35000 --query="белые шорты с высокой посадкой" --context-subject-filter=true|preset=19143617|presets/bucket_32
белый костюм с шортами женский|белый для_женщина subj_костюм с_шорты|elasticsearch|--context-subject="костюм" --max-product=35000 --query="белый костюм с шортами женский" --context-subject-filter=true|preset=10797297|presets/bucket_32
бермуды женские большие размеры|subj_бермуды большой для_женщина размер|elasticsearch|--context-subject="бермуды" --query="бермуды женские большие размеры"|preset=10048144&kind=0;2|presets/bucket_32
бермуды женские домашние|subj_бермуды для_женщина домашний|elasticsearch|--context-subject="бермуды" --max-product=35000 --query="бермуды женские домашние"|preset=19157999|presets/bucket_32
бермуды спортивные женские|subj_бермуды для_женщина спортивный|elasticsearch|--context-subject="бермуды" --max-product=35000 --query="бермуды спортивные женские"|preset=18925288|presets/bucket_32
бесшовный топ|бесшовный subj_топ|elasticsearch|--context-subject="топ" --query="бесшовный топ" --context-subject-filter=true|preset=10020729|presets/bucket_32
бикини мини эротический|mini subj_бикини subj_эротик|elasticsearch|--query="бикини мини эротический" --max-product=35000 --context-subject="бикини"|preset=200104473|presets/bucket_32
боди первый новый год|боди нг первый|elasticsearch|--context-subject="новый год" --query="боди мой первый новый год"|preset=10221830|presets/bucket_32
больший шорты|больший subj_шорты|elasticsearch|--context-subject="шорты" --max-product=35000 --query="больший шорты" --context-subject-filter=true|preset=19129173|presets/bucket_32
босс отбеливающий|subj_босс отбеливающий|elasticsearch|--query="босс отбеливающий"|preset=10174270|presets/bucket_32
бра с чашками|subj_бра с_чашка|elasticsearch|--query="бра с чашками" --max-product=35000 --context-subject="бра"|preset=200008127|presets/bucket_32
брюки lassie 128|128 lassie subj_брюки|elasticsearch|--context-subject="брюки" --max-product=35000 --query="брюки lassie 128" --context-subject-filter=true|preset=19749657|presets/bucket_32
брюки wildberries|wildberries subj_брюки|elasticsearch|--query="брюки wildberries" --max-product=35000 --context-subject="брюки"|preset=200001503|presets/bucket_32
брюки детские софтшелл|subj_брюки для_детей софтшелл|elasticsearch|--context-subject="брюки" --max-product=35000 --query="брюки детские софтшелл" --context-subject-filter=true|preset=10780570|presets/bucket_32
брюки для женщин lime|limes subj_брюки для_женщина|elasticsearch|--context-subject="брюки" --context-brand="lime" --query="брюки женские lime" --context-subject-filter=true|preset=10062624&kind=0;2|presets/bucket_32
брюки для мальчика софтшелл|subj_брюки для_мальчик софтшелл|elasticsearch|--context-subject="брюки" --max-product=35000 --query="брюки для мальчика софтшелл" --context-subject-filter=true|preset=10649974|presets/bucket_32
брюки женские h&m|h&m subj_брюки для_женщина|elasticsearch|--context-subject="брюки" --query="брюки женские h&m" --context-brand="h&m"|preset=10157943&kind=0;2|presets/bucket_32
брюки женские галифе|subj_брюки subj_галифе для_женщина|elasticsearch|--context-subject="брюки" --query="брюки женские галифе" --context-subject-filter=true|preset=10015298&kind=0;2|presets/bucket_32
брюки женские италия|subj_брюки для_женщина subj_италия|elasticsearch|--context-subject="брюки" --query="брюки женские италия" --context-subject-filter=true|preset=10036291&kind=0;2|presets/bucket_32
брюки женские польша|subj_брюки для_женщина subj_польша|elasticsearch|--context-subject="брюки" --query="брюки женские польша"|preset=10090753&kind=0;2|presets/bucket_32
брюки клеш с топом|subj_брюки subj_клеш с_топ|elasticsearch|--context-subject="брюки" --max-product=35000 --query="брюки клеш с топом"|preset=10820637|presets/bucket_32
брюки смена|subj_брюки subj_смена|elasticsearch|--context-subject="брюки" --query="брюки смена"|preset=10061993|presets/bucket_32
брюки софтшелл для девочки|subj_брюки для_девочка софтшелл|elasticsearch|--context-subject="брюки" --max-product=35000 --query="брюки софтшелл для девочки" --context-subject-filter=true|preset=10614691|presets/bucket_32
брюки с принтом тай дай|subj_брюки дать с_принт таять|elasticsearch|--context-subject="брюки" --max-product=35000 --query="брюки с принтом тай дай"|preset=10615047|presets/bucket_32
брюки-шорты мужские|брюки-шорты для_мужчина|elasticsearch|--query="брюки-шорты мужские" --max-product=35000 --context-subject="брюки"|preset=200006650|presets/bucket_32
брючные шорты детские|брючный для_детей subj_шорты|elasticsearch|--context-subject="шорты" --max-product=35000 --query="брючные шорты детские" --context-subject-filter=true|preset=121215300|presets/bucket_32
брючный костюм с шортами|брючный subj_костюм с_шорты|elasticsearch|--context-subject="костюм" --max-product=35000 --query="брючный костюм с шортами" --context-subject-filter=true|preset=19712673|presets/bucket_32
брючный костюм с шортами женский|брючный для_женщина subj_костюм с_шорты|elasticsearch|--context-subject="костюм" --max-product=35000 --query="брючный костюм с шортами женский" --context-subject-filter=true|preset=100085497|presets/bucket_32
варенье из тутовника|subj_варенье из_тутовник|elasticsearch|--context-subject="варенье" --max-product=35000 --query="варенье из тутовника" --context-subject-filter=true|preset=18949913|presets/bucket_32
велосипедки шорты мужские|subj_велосипедки для_мужчина subj_шорты|elasticsearch|--context-subject="велосипедки" --max-product=35000 --query="велосипедки шорты мужские"|preset=19533558|presets/bucket_32
велосипедные шорты|subj_велосипед subj_шорты|elasticsearch|--context-subject="велошорты" --query="велосипедные шорты"|preset=10022498|presets/bucket_32
велосипедные шорты детские|subj_велосипед для_детей subj_шорты|elasticsearch|--context-subject="велошорты" --max-product=35000 --query="велосипедные шорты детские"|preset=19291939|presets/bucket_32
вельветовые шорты|вельветовый subj_шорты|elasticsearch|--context-subject="шорты" --query="вельветовые шорты" --context-subject-filter=true|preset=10071320|presets/bucket_32
вельветовый комбинезон женский|вельветовый для_женщина subj_комбинезон|elasticsearch|--context-subject="комбинезон" --query="вельветовый комбинезон женский" --context-subject-filter=true|preset=10155635|presets/bucket_32
велюровый костюм женский с шортами|велюровый для_женщина subj_костюм с_шорты|elasticsearch|--context-subject="костюм" --max-product=35000 --query="велюровый костюм женский с шортами" --context-subject-filter=true|preset=10651623|presets/bucket_32
ветровочный комбинезон|ветровочный subj_комбинезон|elasticsearch|--context-subject="комбинезон" --query="ветровочный комбинезон" --context-subject-filter=true|preset=10095668|presets/bucket_32
виктория сикрет шорты|викторий сикрет subj_шорты|elasticsearch|--context-brand="victoria s secret" --max-product=35000 --query="виктория сикрет шорты"|preset=19435106|presets/bucket_32
вискозные ночные сорочки|вискозный ночной subj_сорочка|elasticsearch|--context-subject="ночные сорочки" --query="вискозные ночные сорочки" --context-subject-filter=true|preset=10158575|presets/bucket_32
волк трусы|subj_волк subj_трусы|elasticsearch|--max-product=35000 --query="волк трусы"|preset=200102282|presets/bucket_32
вставки в топ|в_топ subj_вставка|elasticsearch|--max-product=35000 --query="вставки в топ"|preset=19589537|presets/bucket_32
высокие шорты|высокий subj_шорты|elasticsearch|--context-subject="шорты" --query="высокие шорты" --context-subject-filter=true|preset=10046462|presets/bucket_32
высокие шорты для танцев|высокий для_танец subj_шорты|elasticsearch|--context-subject="шорты" --query="высокие шорты для танцев" --context-subject-filter=true|preset=10162218|presets/bucket_32
галифе|subj_галифе|elasticsearch|--context-subject="брюки" --query="брюки галифе" --context-subject-filter=true|preset=10038436|presets/bucket_32
гидрошорты для плавания|subj_гидрошорты плавательный|elasticsearch|--context-subject="гидрошорты" --max-product=35000 --query="гидрошорты для плавания"|preset=18938321|presets/bucket_32
гимнастические шорты детские|гимнастический для_детей subj_шорты|elasticsearch|--context-subject="шорты спортивные" --max-product=35000 --query="гимнастические шорты детские"|preset=19335444|presets/bucket_32
гимнастические шорты для мальчика|гимнастический для_мальчик subj_шорты|elasticsearch|--context-subject="шорты спортивные" --max-product=35000 --query="гимнастические шорты для мальчика" --context-subject-filter=true|preset=19305477|presets/bucket_32
голубика|subj_голубика|elasticsearch|--query="голубика" --irrelevant-score-percent=0|preset=77004031|presets/bucket_32
голубика саженец|subj_голубика subj_саженец|elasticsearch|--query="голубика саженец" --max-product=35000 --context-subject="голубика"|preset=200105586|presets/bucket_32
городские шорты женские|городской для_женщина subj_шорты|elasticsearch|--context-subject="шорты" --max-product=35000 --query="городские шорты женские" --context-subject-filter=true|preset=19204369|presets/bucket_32
двойной топ|двойной subj_топ|elasticsearch|--query="двойной топ" --max-product=35000 --context-subject="топ" --context-subject-filter=true|preset=200007491|presets/bucket_32
двухслойные шорты|двухслойный subj_шорты|elasticsearch|--query="двухслойные шорты" --max-product=35000 --context-subject="шорты" --context-subject-filter=true|preset=200019920|presets/bucket_32
демисезонный комбинезон для девочки крокид|демисезонный для_девочка subj_комбинезон крокид|elasticsearch|--context-subject="комбинезон" --max-product=35000 --query="демисезонный комбинезон для девочки крокид" --context-subject-filter=true|preset=19143990|presets/bucket_32
демисезонный комплект для девочки lassie|lassie демисезонный для_девочка subj_комплект|elasticsearch|--context-subject="костюм" --max-product=35000 --query="демисезонный комплект для девочки lassie"|preset=10780555|presets/bucket_32
детская пижама для мальчика с шортами|для_детей для_мальчик subj_пижама с_шорты|elasticsearch|--context-subject="пижама" --max-product=35000 --query="детская пижама для мальчика с шортами" --context-subject-filter=true|preset=10337304&kind=3;6|presets/bucket_32
детские зимние комбинезоны на девочку lessi|lessi для_девочка для_детей для_зима subj_комбинезон|elasticsearch|--context-subject="комбинезон" --max-product=35000 --query="детские зимние комбинезоны на девочку lessi" --context-subject-filter=true|preset=19282122|presets/bucket_32
детские кожаные шорты|для_детей кожаный subj_шорты|elasticsearch|--context-subject="шорты" --max-product=35000 --query="детские кожаные шорты" --context-subject-filter=true|preset=10778100|presets/bucket_32
детские комбинезоны the cave|cave the для_детей subj_комбинезон|elasticsearch|--context-brand="the cave" --context-subject="комбинезон" --query="детские комбинезоны the cave" --context-subject-filter=true|preset=10132047&kind=3;5;6|presets/bucket_32
детские майка шорты для мальчика|для_детей для_мальчик subj_майка subj_шорты|elasticsearch|--query="детские майка шорты для мальчика"|preset=10038699|presets/bucket_32
детские шорты для бассейна|для_бассейн для_детей subj_шорты|elasticsearch|--context-subject="шорты" --max-product=35000 --query="детские шорты для бассейна" --context-subject-filter=true|preset=19520214|presets/bucket_32
детский комбинезон зимний крокид|для_детей для_зима subj_комбинезон крокид|elasticsearch|--context-subject="комбинезон" --query="детский комбинезон зимний крокид" --context-subject-filter=true|preset=10156908&kind=3;5;6|presets/bucket_32
